,ID,title,date,url
53,d-5145302,Nenek Naruh Dibunuh Anak-Menantu yang Mengaku Dapat Bisikan Gaib, 25 Agu 2020 08:22 WIB,https://news.detik.com/berita-jawa-tengah/d-5145302/nenek-naruh-dibunuh-anak-menantu-yang-mengaku-dapat-bisikan-gaib?single=1
54,d-5145047,Kejanggalan Ini Ungkap Pembunuhan Sadis Nenek yang Dilaporkan Gantung Diri, 24 Agu 2020 20:18 WIB,https://news.detik.com/berita-jawa-tengah/d-5145047/kejanggalan-ini-ungkap-pembunuhan-sadis-nenek-yang-dilaporkan-gantung-diri?single=1
55,d-5145041,Pemulung Colong Cap Batik Masterpiece Kuno di Solo, 24 Agu 2020 20:10 WIB,https://news.detik.com/berita-jawa-tengah/d-5145041/pemulung-colong-cap-batik-masterpiece-kuno-di-solo?single=1
56,d-5145030,Polisi Dalami Motif Lain Pembunuhan Sadis 4 Orang Sekeluarga Sukoharjo, 24 Agu 2020 20:01 WIB,https://news.detik.com/berita-jawa-tengah/d-5145030/polisi-dalami-motif-lain-pembunuhan-sadis-4-orang-sekeluarga-sukoharjo?single=1
57,d-5145023,"Nenek Dilaporkan Gantung Diri Ternyata Dibunuh, Pelaku Ngaku Dengar Bisikan", 24 Agu 2020 19:54 WIB,https://news.detik.com/berita-jawa-tengah/d-5145023/nenek-dilaporkan-gantung-diri-ternyata-dibunuh-pelaku-ngaku-dengar-bisikan?single=1
58,d-5144945,"Ngaku Wartawan, Pria Ini Peras Pengelola Objek Wisata di Wonosobo", 24 Agu 2020 19:31 WIB,https://news.detik.com/berita-jawa-tengah/d-5144945/ngaku-wartawan-pria-ini-peras-pengelola-objek-wisata-di-wonosobo?single=1
59,d-5144759,"4 Orang Sekeluarga Dihabisi Teman Bisnis, Kerabat Curiga Ada Pelaku Lain", 24 Agu 2020 18:15 WIB,https://news.detik.com/berita-jawa-tengah/d-5144759/4-orang-sekeluarga-dihabisi-teman-bisnis-kerabat-curiga-ada-pelaku-lain?single=1
60,d-5144758,Polisi Dalami Pelaku Lain di Kasus Pria Bunuh Ipar di Dompu NTB, 24 Agu 2020 18:15 WIB,https://news.detik.com/berita/d-5144758/polisi-dalami-pelaku-lain-di-kasus-pria-bunuh-ipar-di-dompu-ntb?single=1
61,d-5144747,"Jalani Sidang Perdana, Kades Penampar Bocah Didakwa Pasal Penganiayaan", 24 Agu 2020 17:58 WIB,https://news.detik.com/berita-jawa-tengah/d-5144747/jalani-sidang-perdana-kades-penampar-bocah-didakwa-pasal-penganiayaan?single=1
62,d-5144652,Yang Masih Jadi Misteri di Pembunuhan 4 Orang Sekeluarga Sukoharjo, 24 Agu 2020 16:56 WIB,https://news.detik.com/berita-jawa-tengah/d-5144652/yang-masih-jadi-misteri-di-pembunuhan-4-orang-sekeluarga-sukoharjo?single=1
